date;price;Open;High;Low;Volumen Exchanges;Variación Diaria Exchanges
18-10-2021;62,024.4;61,528.3;62,625.7;60,053.2;51,800.0;0.81%
17-10-2021;61,526.0;60,875.8;61,660.0;59,156.7;39,100.0;1.09%
16-10-2021;60,860.9;61,720.0;62,332.9;60,160.3;35,490.0;-1.30%
15-10-2021;61,659.8;57,345.0;62,913.0;56,871.0;82,500.0;7.53%
14-10-2021;57,341.0;57,370.8;58,513.3;56,858.1;43,050.0;-0.07%
13-10-2021;57,382.6;56,002.9;57,697.8;54,320.0;55,840.0;2.43%
12-10-2021;56,022.4;57,425.8;57,644.3;54,172.7;53,470.0;-2.53%
11-10-2021;57,477.0;54,652.2;57,819.3;54,457.0;52,930.0;5.10%
10-10-2021;54,685.6;54,949.2;56,435.0;54,089.8;89,240.0;-0.46%
09-10-2021;54,939.0;53,947.8;55,429.2;53,704.9;55,170.0;1.91%
08-10-2021;53,911.2;53,787.1;55,955.4;53,653.4;46,160.0;0.24%
07-10-2021;53,779.8;55,311.1;55,311.1;53,491.2;54,920.0;-2.78%
06-10-2021;55,315.9;51,457.4;55,658.6;50,436.6;79,880.0;7.50%
05-10-2021;51,456.1;49,222.4;51,864.2;49,056.4;52,130.0;4.53%
04-10-2021;49,227.5;48,198.8;49,473.7;46,960.0;46,800.0;2.16%
03-10-2021;48,186.7;47,632.3;49,159.0;47,122.2;30,820.0;1.09%
02-10-2021;47,665.5;48,136.8;48,300.0;47,443.8;30,510.0;-0.99%
01-10-2021;48,141.1;43,816.2;48,430.8;43,289.3;66,240.0;9.85%
30-09-2021;43,822.5;41,541.1;44,102.0;41,414.1;46,380.0;5.51%
29-09-2021;41,535.6;41,019.7;42,561.1;40,817.0;33,520.0;1.27%
28-09-2021;41,016.6;42,140.3;42,755.1;40,902.0;43,370.0;-2.73%
27-09-2021;42,169.6;43,134.4;44,283.9;42,141.1;39,780.0;-2.40%
26-09-2021;43,205.0;42,670.6;43,903.5;40,772.4;49,880.0;1.23%
25-09-2021;42,678.9;42,804.8;42,948.1;41,659.4;33,600.0;-0.29%
24-09-2021;42,803.7;44,856.3;45,098.7;40,878.8;84,120.0;-4.58%
23-09-2021;44,856.3;43,543.6;44,938.7;43,081.6;48,710.0;3.03%
22-09-2021;43,536.1;40,781.5;43,968.3;40,581.0;58,360.0;7.12%
21-09-2021;40,643.8;43,014.0;43,620.6;39,644.1;84,520.0;-5.41%
20-09-2021;42,968.2;47,284.1;47,324.5;42,532.7;77,990.0;-9.04%
19-09-2021;47,236.5;48,294.4;48,338.6;46,865.5;29,860.0;-2.21%
18-09-2021;48,305.0;47,312.2;48,754.4;47,066.9;30,890.0;2.17%
17-09-2021;47,277.9;47,761.9;48,150.0;46,789.6;34,460.0;-0.97%
16-09-2021;47,740.0;48,152.4;48,476.2;47,034.2;40,730.0;-0.80%
15-09-2021;48,124.9;47,075.3;48,429.4;46,739.4;43,210.0;2.24%
14-09-2021;47,068.8;44,946.0;47,243.3;44,711.9;44,840.0;4.73%
13-09-2021;44,945.0;46,035.5;46,806.0;43,445.4;65,430.0;-2.42%
12-09-2021;46,060.3;45,158.1;46,385.6;44,750.0;32,090.0;1.99%
11-09-2021;45,160.0;44,877.0;45,977.1;44,746.1;30,440.0;0.71%
10-09-2021;44,841.9;46,391.5;47,019.5;44,280.5;49,040.0;-3.32%
09-09-2021;46,384.0;46,043.5;47,315.6;45,597.4;50,660.0;0.72%
08-09-2021;46,051.4;46,847.3;47,310.0;44,484.1;65,070.0;-1.53%
07-09-2021;46,768.0;52,666.2;52,880.0;43,066.4;123,040.0;-11.20%
06-09-2021;52,663.9;51,751.5;52,722.6;50,987.2;49,260.0;1.74%
05-09-2021;51,762.7;49,926.7;51,876.9;49,480.6;40,540.0;3.71%
04-09-2021;49,913.0;49,977.5;50,529.0;49,437.0;34,660.0;-0.16%
03-09-2021;49,990.7;49,245.1;51,000.0;48,351.0;59,030.0;1.47%
02-09-2021;49,264.9;48,784.1;50,351.1;48,600.3;54,410.0;0.94%
01-09-2021;48,807.6;47,090.7;49,150.0;46,521.4;49,900.0;3.56%
